advanced_priority_rank,state,city,station_name,current_aqi,current_aqi_category,forecast_aqi_next,forecast_aqi_category,forecast_aqi_change,forecast_trend,hotspot_status,advanced_priority_score,advanced_priority_category,health_exposure_risk_score,dispersion_index,satellite_aerosol_proxy_score,primary_pollution_source,recommended_intervention,lat,lon
119,Uttar Pradesh,Lucknow,"Talkatora District Industries Center, Lucknow - CPCB",394.14,Very Poor,387.9465954864061,Very Poor,-6.193404513593862,Stable,Critical forecast hotspot,54.6,Moderate,61.7,57.01,29.73,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.83399722,80.8917361
120,Uttar Pradesh,Greater Noida,"Knowledge Park - III, Greater Noida - UPPCB",419.06,Severe,410.3268195469767,Severe,-8.733180453023294,Stable,Critical forecast hotspot,54.55,Moderate,61.77,37.33,42.96,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.47272,77.482
121,Maharashtra,Aurangabad,"More Chowk Waluj, Aurangabad - MPCB",500.0,Severe,499.9991231559984,Severe,-0.0008768440015956003,Stable,Critical forecast hotspot,54.54,Moderate,67.79,31.02,26.08,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",19.8389439,75.244448
122,Madhya Pradesh,Jabalpur,"Suhagi, Jabalpur - JMC",493.77,Severe,445.3811972352767,Severe,-48.388802764723266,Decreasing,Critical forecast hotspot,54.36,Moderate,62.8,52.94,18.38,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",23.218135,79.95777
123,Rajasthan,Jaipur,"Shastri Nagar, Jaipur - RSPCB",431.51,Severe,425.6490642670403,Severe,-5.860935732959717,Stable,Critical forecast hotspot,54.31,Moderate,66.2,31.55,39.6,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.9502929,75.730943
124,Madhya Pradesh,Indore,"Airport Area, Indore - IMC",437.74,Severe,438.07412774234894,Severe,0.33412774234892595,Stable,Critical forecast hotspot,54.26,Moderate,64.24,43.6,28.95,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",22.7289,75.8076
125,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",388.28,Very Poor,389.8143200638058,Very Poor,1.5343200638058079,Stable,Critical forecast hotspot,54.1,Moderate,67.29,26.03,49.38,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.360699,76.93609
126,Odisha,Brajrajnagar,"GM Office, Brajrajnagar - OSPCB",364.85,Very Poor,354.65653965470807,Very Poor,-10.193460345291953,Stable,Critical forecast hotspot,54.04,Moderate,52.85,80.11,22.75,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",21.8004996,83.8396977
127,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",419.06,Severe,419.393922150485,Severe,0.33392215048502294,Stable,Critical forecast hotspot,53.81,Moderate,59.31,63.82,18.08,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",30.735567,76.775714
128,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",382.43,Very Poor,368.2079307831117,Very Poor,-14.222069216888315,Stable,Critical forecast hotspot,53.8,Moderate,55.25,73.91,21.98,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.08815,82.13737
129,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC",468.87,Severe,473.4981613088187,Severe,4.628161308818676,Stable,Critical forecast hotspot,53.62,Moderate,66.71,27.26,32.02,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.594004,76.909423
130,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",382.43,Very Poor,393.485480194766,Very Poor,11.055480194766005,Stable,Critical forecast hotspot,53.57,Moderate,55.52,65.93,24.27,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",21.224231,81.40835
131,Delhi,Delhi,"IIT Delhi, Delhi - IITM",376.57,Very Poor,390.99579420816855,Very Poor,14.425794208168554,Stable,Critical forecast hotspot,53.49,Moderate,59.72,35.19,47.21,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.54246,77.191651
132,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC",431.51,Severe,432.3925869759779,Severe,0.8825869759779152,Stable,Critical forecast hotspot,53.48,Moderate,63.44,38.96,32.15,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.62181,77.1944633
133,Bihar,Munger,"Town Hall, Munger - BSPCB",412.83,Severe,409.42518247843367,Severe,-3.404817521566315,Stable,Critical forecast hotspot,53.38,Moderate,58.29,60.95,21.82,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.376776,86.471523
134,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",481.32,Severe,490.5174525479343,Severe,9.19745254793429,Stable,Critical forecast hotspot,53.35,Moderate,65.08,31.92,25.58,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.1485564,77.3320667
135,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",400.0,Very Poor,417.98848464382496,Severe,17.98848464382496,Stable,Critical forecast hotspot,53.32,Moderate,60.7,37.24,38.75,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.672342,77.31526
136,Tamil Nadu,Chennai,"Perungudi, Chennai - TNPCB",388.28,Very Poor,379.7474552103053,Very Poor,-8.532544789694668,Stable,Critical forecast hotspot,53.31,Moderate,58.92,46.22,39.11,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",12.9533,80.2357
137,West Bengal,Asansol,"Mahabir Colliery, Asansol - WBPCB",481.32,Severe,469.69449564024166,Severe,-11.625504359758338,Stable,Critical forecast hotspot,53.26,Moderate,62.27,48.22,16.93,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",23.618183,87.105718
138,West Bengal,Haldia,"Priyambada Housing Estate, Haldia - WBPCB",419.06,Severe,411.16217350243153,Severe,-7.897826497568474,Stable,Critical forecast hotspot,53.1,Moderate,57.19,66.86,16.13,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",22.06047,88.109737
139,Andhra Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",228.26,Poor,269.9885752834335,Poor,41.728575283433486,Increasing,High forecast hotspot,53.07,Moderate,45.5,75.37,47.46,Photochemical smog,"High-priority intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",17.72,83.3
140,Andhra Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",400.0,Very Poor,405.9597046640214,Severe,5.9597046640213875,Stable,Critical forecast hotspot,52.92,Moderate,59.01,50.58,29.42,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",16.536107,80.594233
141,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB",400.0,Very Poor,407.3959067532469,Severe,7.395906753246891,Stable,Critical forecast hotspot,52.75,Moderate,59.41,46.02,32.15,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",24.5886166,73.6321397
142,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB",481.32,Severe,473.418076783807,Severe,-7.9019232161929835,Stable,Critical forecast hotspot,52.55,Moderate,62.71,30.0,29.68,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",20.34652,85.8163
143,West Bengal,Howrah,"Ghusuri, Howrah - WBPCB",341.42,Very Poor,345.3255328595619,Very Poor,3.9055328595619017,Stable,Critical forecast hotspot,52.43,Moderate,51.6,69.3,30.16,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.611968,88.347422
144,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB",437.74,Severe,456.74463828042366,Severe,19.00463828042365,Stable,Critical forecast hotspot,52.4,Moderate,60.04,40.01,26.59,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",24.588397,76.172782
145,Uttar Pradesh,Lucknow,"Kendriya Vidyalaya, Lucknow - CPCB",364.85,Very Poor,365.6675235613424,Very Poor,0.8175235613423979,Stable,Critical forecast hotspot,52.18,Moderate,57.31,59.0,28.31,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.906111,80.948222
146,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB",431.51,Severe,430.75308708477496,Severe,-0.7569129152250298,Stable,Critical forecast hotspot,52.11,Moderate,60.48,43.67,26.43,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",12.7816279,77.6299145
147,Delhi,Delhi,"Pusa, Delhi - IITM",376.57,Very Poor,388.3210334209688,Very Poor,11.751033420968781,Stable,Critical forecast hotspot,52.02,Moderate,58.39,38.96,40.34,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.63611,77.173332
148,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",312.13,Very Poor,298.4045928103377,Poor,-13.725407189662292,Stable,Critical current hotspot,51.97,Moderate,45.98,100.0,16.6,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.987634,94.636574
149,Uttar Pradesh,Varanasi,"Maldahiya, Varanasi - UPPCB",323.85,Very Poor,316.9693571280167,Very Poor,-6.880642871983298,Stable,Critical forecast hotspot,51.94,Moderate,49.91,84.16,21.63,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.32393,82.99687
150,West Bengal,Barrackpore,"SVSPA Campus, Barrackpore - WBPCB",425.28,Severe,431.2901868786356,Severe,6.010186878635636,Stable,Critical forecast hotspot,51.92,Moderate,57.46,53.47,20.27,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.7605581,88.3617589
151,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB",443.96,Severe,448.7630572673834,Severe,4.8030572673833944,Stable,Critical forecast hotspot,51.88,Moderate,61.77,29.55,33.55,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",20.24079,85.836784
152,Maharashtra,Mumbai,"Worli, Mumbai - MPCB",419.06,Severe,421.5101084349075,Severe,2.45010843490752,Stable,Critical forecast hotspot,51.82,Moderate,59.46,51.03,21.6,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",18.9936162,72.8128113
153,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",364.85,Very Poor,377.2351271608945,Very Poor,12.385127160894456,Stable,Critical forecast hotspot,51.68,Moderate,56.15,56.46,27.93,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",23.002657,72.591912
154,Uttar Pradesh,Varanasi,"Ardhali Bazar, Varanasi - UPPCB",186.34,Moderate,205.98428838312867,Poor,19.644288383128668,Stable,High forecast hotspot,51.67,Moderate,42.16,95.05,40.35,Photochemical smog,"High-priority intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",25.3505986,82.9083074
155,Maharashtra,Mumbai,"Deonar, Mumbai - IITM",425.28,Severe,424.6404972915476,Severe,-0.639502708452369,Stable,Critical forecast hotspot,51.63,Moderate,57.95,52.9,20.33,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",19.04946,72.923
156,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB",341.42,Very Poor,338.7758883947631,Very Poor,-2.644111605236901,Stable,Critical forecast hotspot,51.62,Moderate,54.03,58.59,35.01,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.06156703,85.47409613
157,Karnataka,Bengaluru,"BWSSB Kadabesanahalli, Bengaluru - CPCB",419.06,Severe,386.9431022974245,Very Poor,-32.1168977025755,Decreasing,Critical forecast hotspot,51.61,Moderate,59.71,51.13,24.76,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",12.9352049,77.6814488
158,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB",425.28,Severe,412.3275360172468,Severe,-12.952463982753159,Stable,Critical forecast hotspot,51.57,Moderate,58.74,44.27,28.45,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",25.339605,74.618883
159,Punjab,Patiala,"Model Town, Patiala - PPCB",358.99,Very Poor,362.0752664781531,Very Poor,3.0852664781530734,Stable,Critical forecast hotspot,51.4,Moderate,54.8,56.47,31.17,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",30.349388,76.366642
160,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",323.85,Very Poor,324.08704375023973,Very Poor,0.2370437502397067,Stable,Critical forecast hotspot,51.18,Moderate,50.97,68.47,30.8,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",26.11442,85.39813
161,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",376.57,Very Poor,384.3411903998469,Very Poor,7.771190399846887,Stable,Critical forecast hotspot,51.17,Moderate,59.03,38.96,37.19,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.674045,77.131023
162,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",329.7,Very Poor,339.93371543644946,Very Poor,10.233715436449472,Stable,Critical forecast hotspot,51.07,Moderate,49.18,81.83,17.51,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.348441,82.549611
163,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",370.07,Very Poor,362.10364514116,Very Poor,-7.96635485884002,Stable,Critical forecast hotspot,50.97,Moderate,67.11,16.9,50.22,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.593883,76.270653
164,Delhi,Delhi,"IMD Lodhi Road, Delhi - IITM",400.0,Very Poor,414.72934005189296,Severe,14.729340051892962,Stable,Critical forecast hotspot,50.96,Moderate,60.4,35.19,32.73,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.5918245,77.2273074
165,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",412.83,Severe,424.8887900309392,Severe,12.058790030939235,Stable,Critical forecast hotspot,50.86,Moderate,59.66,33.43,32.95,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.531346,77.190156
166,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",335.56,Very Poor,348.6808798621656,Very Poor,13.120879862165623,Stable,Critical forecast hotspot,50.83,Moderate,50.53,73.38,21.1,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",24.762518,84.982348
167,Madhya Pradesh,Katni,"Gole Bazar, Katni - MPPCB",370.71,Very Poor,366.77406932866126,Very Poor,-3.935930671338724,Stable,Critical forecast hotspot,50.65,Moderate,54.29,49.89,33.78,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",23.50016,80.23284
168,Uttarakhand,Rishikesh,"Shivaji Nagar, Rishikesh - UKPCB",419.06,Severe,418.75877112750544,Severe,-0.301228872494562,Stable,Critical forecast hotspot,50.55,Moderate,54.68,63.46,11.64,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",30.075911,78.2859547
169,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",437.74,Severe,391.9808971762744,Very Poor,-45.759102823725584,Decreasing,Critical forecast hotspot,50.47,Moderate,57.23,53.31,19.64,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",21.217779,72.834787
170,Tamil Nadu,Chennai,"Manali Village, Chennai - TNPCB",475.09,Severe,314.13031554232805,Very Poor,-160.95968445767193,Decreasing,Critical forecast hotspot,50.23,Moderate,58.63,47.81,29.24,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",13.1662,80.2584
171,Assam,Silchar,"Tarapur, Silchar - PCBA",388.28,Very Poor,384.12615493379616,Very Poor,-4.153845066203814,Stable,Critical forecast hotspot,50.09,Moderate,52.88,64.58,16.99,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",24.82827,92.79525
172,Odisha,Rourkela,"Sector-2, Rourkela - OSPCB",306.27,Very Poor,306.4146124981791,Very Poor,0.14461249817912858,Stable,Critical forecast hotspot,49.84,Moderate,48.82,78.34,22.56,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.245,84.88111111
173,Uttar Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB",406.6,Severe,413.4258781014589,Severe,6.825878101458898,Stable,Critical forecast hotspot,49.73,Moderate,58.51,39.87,26.37,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",26.428282,80.327067
174,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",335.56,Very Poor,341.33267873274224,Very Poor,5.772678732742236,Stable,Critical forecast hotspot,49.71,Moderate,59.32,33.61,43.99,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.39072,77.30059
175,West Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB",353.14,Very Poor,349.4221227855101,Very Poor,-3.7178772144898744,Stable,Critical forecast hotspot,49.58,Moderate,52.23,64.55,22.11,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",22.49929,88.36917
176,Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",347.28,Very Poor,346.8435705675639,Very Poor,-0.43642943243605714,Stable,Critical forecast hotspot,49.52,Moderate,53.98,57.23,27.13,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",19.0863,72.8888
177,Uttar Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB",388.28,Very Poor,399.1406573595853,Very Poor,10.860657359585332,Stable,Critical forecast hotspot,49.48,Moderate,55.3,40.34,31.19,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.406963,77.849831
178,Delhi,Delhi,"R K Puram, Delhi - DPCC",341.42,Very Poor,371.9904301096698,Very Poor,30.570430109669758,Increasing,Critical forecast hotspot,49.46,Moderate,54.52,35.75,40.95,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.563262,77.186937
179,Haryana,Panipat,"Sector-18, Panipat - HSPCB",353.14,Very Poor,371.5926199194327,Very Poor,18.45261991943272,Stable,Critical forecast hotspot,49.4,Moderate,49.68,50.65,32.97,Industrial combustion,"Immediate intervention: Increase industrial emission inspection, check stack compliance, enforce fuel-quality standards, and monitor nearby industrial clusters.",29.432304,76.972765
180,Uttar Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",306.27,Very Poor,304.5969075160642,Very Poor,-1.6730924839357613,Stable,Critical forecast hotspot,49.32,Moderate,48.5,71.67,27.22,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",28.88528,78.7388
180,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",329.7,Very Poor,334.71976597260965,Very Poor,5.019765972609662,Stable,Critical forecast hotspot,49.32,Moderate,46.73,78.18,18.02,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",22.12665,83.483212
181,Uttar Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",353.14,Very Poor,351.2145862263052,Very Poor,-1.9254137736947996,Stable,Critical forecast hotspot,49.09,Moderate,53.86,53.14,28.45,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",26.766433,80.927299
182,Uttar Pradesh,Noida,"Sector-1, Noida - UPPCB",382.43,Very Poor,376.5116062301586,Very Poor,-5.91839376984143,Stable,Critical forecast hotspot,49.07,Moderate,56.51,37.06,35.0,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",28.5898,77.3101
183,Maharashtra,Mumbai,"Khindipada-Bhandup West, Mumbai - IITM",382.43,Very Poor,394.6350017248248,Very Poor,12.205001724824797,Stable,Critical forecast hotspot,48.98,Moderate,53.46,57.07,17.22,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",19.1653323,72.922099
184,Telangana,Hyderabad,"Sanathnagar, Hyderabad - TSPCB",431.51,Severe,406.5301099297718,Severe,-24.97989007022818,Stable,Critical forecast hotspot,48.9,Moderate,56.67,45.37,20.17,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",17.4559458,78.4332152
185,Maharashtra,Mumbai,"Bandra Kurla Complex, Mumbai - MPCB",364.85,Very Poor,360.0660579542883,Very Poor,-4.78394204571174,Stable,Critical forecast hotspot,48.73,Moderate,53.41,57.23,22.18,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",19.065931,72.862131
186,Delhi,Delhi,"DTU, Delhi - CPCB",347.28,Very Poor,358.91403586759736,Very Poor,11.63403586759739,Stable,Critical forecast hotspot,48.68,Moderate,54.24,42.6,34.63,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",28.7500499,77.1112615
187,West Bengal,Kolkata,"Ballygunge, Kolkata - WBPCB",317.99,Very Poor,324.82948769501235,Very Poor,6.8394876950123376,Stable,Critical forecast hotspot,48.54,Moderate,48.86,69.87,21.91,Vehicular traffic,"Immediate intervention: Implement traffic flow control, reduce idling zones, strengthen public transport diversion, and prioritize roadside monitoring.",22.5367507,88.3638022
188,Maharashtra,Mahad,"Kamble Tarf Birwadi, Mahad - MPCB",329.7,Very Poor,326.5364544116606,Very Poor,-3.163545588339389,Stable,Critical forecast hotspot,48.45,Moderate,49.73,62.67,26.6,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",18.1023399,73.4783687
189,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB",431.51,Severe,433.61547621693126,Severe,2.1054762169312653,Stable,Critical forecast hotspot,48.44,Moderate,58.96,24.7,31.03,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",15.459706,75.008381
190,Andhra Pradesh,Nellore,"Ambedkar Nagar, Nellore - APPCB",412.83,Severe,417.5002221153751,Severe,4.670222115375111,Stable,Critical forecast hotspot,48.36,Moderate,56.54,32.24,29.59,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",14.438164,79.966814
191,Andhra Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB",364.85,Very Poor,357.7939817880198,Very Poor,-7.056018211980245,Stable,Critical forecast hotspot,48.33,Moderate,53.13,49.02,28.67,Biomass / fine-particle combustion,"Immediate intervention: Track open burning, control biomass combustion sources, increase public alerts, and strengthen fine-particle monitoring.",16.554731,80.64911
192,Madhya Pradesh,Gwalior,"Maharaj Bada, Gwalior - MPPCB",412.83,Severe,449.065533498168,Severe,36.235533498168024,Increasing,Critical forecast hotspot,48.3,Moderate,58.72,24.06,28.45,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",26.200388,78.147714
193,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",376.57,Very Poor,370.744903748474,Very Poor,-5.82509625152602,Stable,Critical forecast hotspot,48.29,Moderate,55.78,34.83,35.97,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",28.530785,77.271255
194,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB",456.42,Severe,437.1018411904758,Severe,-19.31815880952422,Stable,Critical forecast hotspot,48.28,Moderate,59.21,29.88,23.72,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",26.268249,73.0193853
195,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",312.13,Very Poor,317.1113886408278,Very Poor,4.981388640827788,Stable,Critical forecast hotspot,48.22,Moderate,49.52,65.37,25.44,Photochemical smog,"Immediate intervention: Control NOx and VOC sources, reduce peak-hour emissions, and issue ozone/smog exposure advisories.",30.751462,76.762879
196,Maharashtra,Mumbai,"Malad West, Mumbai - IITM",406.6,Severe,404.2336417135642,Severe,-2.3663582864357977,Stable,Critical forecast hotspot,48.01,Moderate,54.24,52.24,15.2,Construction / road dust,"Immediate intervention: Apply dust suppression, cover construction material, clean road dust, and enforce construction-site controls.",19.19709,72.82204
